Badminton Doubles;masculino;CAN;ouro;YAKURA Nyl Kiyoshi;DONG Xingyu
Badminton Doubles;masculino;BRA;prata;CARVALHO MARINHO DA SILVA Davi;ROCHA FARIAS Fabricio Ruan
Badminton Doubles;masculino;EAI;bronze;MARROQUÍN CÓRDOBA Lesvin;SOLÍS RIVAS Jonathan Josué
Badminton Doubles;masculino;MEX;bronze;CASTILLO GALINDO Job;MONTOYA NAVARRO Luis Armando
Badminton Singles;masculino;CAN;ouro;YANG Brian
Badminton Singles;masculino;EAI;prata;CORDÓN BUEZO Kevin Haroldo
Badminton Singles;masculino;ESA;bronze;CANJURA ARTIGA Uriel Francisco
Badminton Singles;masculino;MEX;GARRIDO ESQUIVEL Luis Ramon
Badminton Doubles;feminino;CAN;ouro;CHOI Catherine;WU Josephine Yuenling
Badminton Doubles;feminino;USA;prata;XU Annie;XU Kerry
Badminton Doubles;feminino;BRA;bronze;VIANA VIEIRA Juliana;PASSOS LIMA Sania Valeria
Badminton Doubles;feminino;MEX;bronze;FREGOSO GUEVARA Romina Mariel;RODRIGUEZ PEREZ Miriam
Badminton Singles;feminino;USA;ouro;ZHANG Beiwen
Badminton Singles;feminino;USA;prata;GAI Jennie
Badminton Singles;feminino;CAN;bronze;CHAN Rachel Jun Ling
Badminton Singles;feminino;CUB;bronze;OROPESA PUPO Taymara
Badminton Doubles;mix;CAN;ouro;CHOI Catherine;LINDEMAN Ty Alexander;WU Josephine Yuenling
Badminton Doubles;mix;USA;prata;CHIU Vinson;GAI Jennie
Badminton Doubles;mix;PER;bronze;GUEVARA LLATAS Jose Einer;CASTILLO SALAZAR Ines Lucia
Badminton Doubles;mix;BRA;bronze;CARVALHO MARINHO DA SILVA Davi;PASSOS LIMA Sania Valeria
Marathon;masculino;PER;ouro;PACHECO Cristhian Simeon
Marathon;masculino;CHI;prataCATRILEO Hugo Edgardo
Marathon;masculino;PER;bronze;OSTOS Luis Fernando
Marathon;feminino;MEX;ouro;CRISTIAN Citlali
Marathon;feminino;ARG;prata;BORELLI Florencia
Marathon;feminino;PER;TEJEDA Gladys Lucy
Basketball 3x3;maculino;USA;ouro;Time USA
Basketball 3x3;maculino;CHI;prata;Time CHI
Basketball 3x3;maculino;TTO;bronze;Time TTO
Basketball 3x3;feminino;USA;ouro;Time USA
Basketball 3x3;feminino;COL;prata;Time COL
Basketball 3x3;feminino;CHI;bronze;Time CHI
BMX Racing;masculino;USA;ouro;LARSEN Kamren
BMX Racing;masculino;USA;prata;WOOD Cameron Donald
BMX Racing;masculino;COL;bronze;RAMIREZ YEPES Carlos Alberto
BMX Racing;feminino;COL;ouro;PAJÓN LONDOÑO Mariana
